longitude,latitude,total_rooms,median_income,ocean_proximity,median_house_value
-122.28,37.82,945,1.4113,NEAR BAY,83100
-122.28,37.82,1238,1.5057,NEAR BAY,87500
-122.28,37.82,1489,0.8172,NEAR BAY,85300
-122.28,37.82,1387,1.2171,NEAR BAY,80300
-122.29,37.82,158,2.5625,NEAR BAY,60000
-122.29,37.83,1121,3.3929,NEAR BAY,75700
-122.29,37.82,135,6.1183,NEAR BAY,75000
-122.29,37.81,760,0.9011,NEAR BAY,86100
-122.3,37.81,1224,1.191,NEAR BAY,76100
-122.3,37.81,828,2.5938,NEAR BAY,73500
-122.3,37.81,1010,1.1667,NEAR BAY,78400
-122.3,37.81,1455,0.8056,NEAR BAY,84400
-122.29,37.8,1027,2.6094,NEAR BAY,81300
-122.3,37.81,572,1.8516,NEAR BAY,85000
-122.29,37.81,2801,0.9802,NEAR BAY,129200
-122.29,37.81,768,1.7719,NEAR BAY,82500
-122.29,37.81,935,0.7286,NEAR BAY,95200
-122.29,37.81,844,1.75,NEAR BAY,75000
-122.29,37.81,12,0.4999,NEAR BAY,67500
-122.29,37.81,835,2.483,NEAR BAY,137500
-122.28,37.81,1237,0.9241,NEAR BAY,177500
-122.28,37.81,2914,2.4464,NEAR BAY,102100
-122.28,37.81,1207,1.1111,NEAR BAY,108300
-122.29,37.81,1745,0.8026,NEAR BAY,112500
-122.28,37.8,684,2.0114,NEAR BAY,131300
-122.28,37.81,924,1.5,NEAR BAY,162500
-122.27,37.81,210,1.1667,NEAR BAY,112500
-122.28,37.81,340,1.5208,NEAR BAY,112500
-122.28,37.81,386,0.8075,NEAR BAY,137500
-122.28,37.81,948,1.8088,NEAR BAY,118800
-122.28,37.81,773,2.4083,NEAR BAY,98200
-122.27,37.81,880,0.977,NEAR BAY,118800
-122.27,37.81,875,0.76,NEAR BAY,162500
-122.27,37.8,105,0.9722,NEAR BAY,137500
-122.27,37.8,249,1.2434,NEAR BAY,500001
-122.27,37.8,994,2.0938,NEAR BAY,162500
-122.28,37.8,215,0.8668,NEAR BAY,137500
-122.28,37.8,96,0.75,NEAR BAY,162500
-122.27,37.79,1055,2.6354,NEAR BAY,187500
-122.27,37.8,1715,1.8477,NEAR BAY,179200
-122.26,37.8,5329,2.0096,NEAR BAY,130000
-122.26,37.82,4596,2.8345,NEAR BAY,183800
-122.26,37.81,335,2.0062,NEAR BAY,125000
-122.26,37.82,3682,1.2185,NEAR BAY,170000
-122.26,37.82,3633,2.6104,NEAR BAY,193100
-122.25,37.81,4656,2.4912,NEAR BAY,257800
-122.25,37.81,5806,3.2177,NEAR BAY,273400
-122.25,37.81,854,3.125,NEAR BAY,237500
-122.25,37.81,2155,2.5795,NEAR BAY,350000
-122.26,37.81,5871,2.8406,NEAR BAY,335700
-122.24,37.82,1509,4.9306,NEAR BAY,313400
-122.24,37.81,2026,3.2727,NEAR BAY,268500
-122.25,37.81,1758,3.1691,NEAR BAY,259400
-122.24,37.82,3481,3.9,NEAR BAY,275700
-122.25,37.82,3337,3.9063,NEAR BAY,225000
-122.25,37.82,1424,5.0917,NEAR BAY,262500
-122.25,37.82,3809,2.6429,NEAR BAY,218500
-122.25,37.82,3959,3.0233,NEAR BAY,255000
-122.25,37.83,2376,3.1484,NEAR BAY,224100
-122.25,37.83,1613,3.4722,NEAR BAY,243100
-122.25,37.83,1279,3.1429,NEAR BAY,231600
-122.25,37.83,5022,2.4234,NEAR BAY,218500
-122.25,37.83,4190,3.0897,NEAR BAY,234100
-122.23,37.84,2515,5.8596,NEAR BAY,327600
-122.23,37.84,3175,5.2868,NEAR BAY,347600
-122.24,37.83,2576,5.956,NEAR BAY,366100
-122.24,37.85,334,4.9643,NEAR BAY,335000
-122.23,37.85,2800,6.3434,NEAR BAY,373600
-122.24,37.84,3529,5.1773,NEAR BAY,389500
-122.24,37.85,2612,7.2354,NEAR BAY,391100
-122.22,37.85,5287,5.457,NEAR BAY,337300
-122.22,37.84,2935,7.5,NEAR BAY,295200
-122.21,37.84,3424,6.0194,NEAR BAY,292300
-122.21,37.83,4991,7.5544,NEAR BAY,411500
-122.2,37.84,2211,6.0666,NEAR BAY,311500
-122.21,37.84,3038,7.0548,NEAR BAY,325900
-122.19,37.84,1617,11.6017,NEAR BAY,392600
-122.2,37.84,2865,7.4882,NEAR BAY,319300
-122.21,37.83,5065,6.8976,NEAR BAY,333300
-122.19,37.83,1326,8.2049,NEAR BAY,335200
-122.2,37.83,1589,8.401,NEAR BAY,351200
-122.19,37.83,1791,6.8538,NEAR BAY,368900
-122.19,37.82,1835,8.317,NEAR BAY,365900
-122.2,37.82,1229,7.0175,NEAR BAY,366700
-122.2,37.82,3770,6.3302,NEAR BAY,362800
-122.18,37.81,292,6.3624,NEAR BAY,483300
-122.21,37.82,2375,7.0549,NEAR BAY,331400
-122.2,37.81,2964,6.7851,NEAR BAY,323500
-122.21,37.8,2833,2.8929,NEAR BAY,216700
-122.21,37.8,2254,3.0812,NEAR BAY,233100
-122.21,37.81,1389,5.2402,NEAR BAY,296400
-122.22,37.81,1971,6.5217,NEAR BAY,273700
-122.22,37.8,2183,3.2632,NEAR BAY,227700
-122.22,37.8,2286,3.0298,NEAR BAY,199600
-122.22,37.8,2721,4.5428,NEAR BAY,239800
-122.22,37.81,2024,4.072,NEAR BAY,270100
-122.22,37.81,2944,5.3509,NEAR BAY,302100
-122.23,37.8,2033,3.1603,NEAR BAY,269500
-122.23,37.81,1433,4.7708,NEAR BAY,314700
-122.22,37.81,2927,8.1564,NEAR BAY,390100
-122.23,37.81,2315,8.8793,NEAR BAY,410300
-122.24,37.81,2485,6.8591,NEAR BAY,352400
-122.24,37.81,1490,6.0302,NEAR BAY,287300
-122.23,37.81,2814,7.508,NEAR BAY,348700
-122.24,37.81,2093,2.7477,NEAR BAY,243800
-122.24,37.8,888,2.1944,NEAR BAY,211500
-122.25,37.8,2087,3.0149,NEAR BAY,218400
-122.24,37.81,2513,3.675,NEAR BAY,269900
-122.25,37.81,3232,3.225,NEAR BAY,218800
-122.25,37.8,4120,2.9345,NEAR BAY,225000
-122.25,37.8,2364,2.1429,NEAR BAY,250000
-122.25,37.8,1471,1.6121,NEAR BAY,171400
-122.25,37.8,2468,1.3929,NEAR BAY,193800
-122.24,37.79,1632,2.3173,NEAR BAY,125000
-122.25,37.79,1786,1.7772,NEAR BAY,97500
-122.25,37.79,629,2.6458,NEAR BAY,125000
-122.25,37.79,1339,2.181,NEAR BAY,138800
-122.25,37.8,1678,2.2303,NEAR BAY,116700
-122.25,37.8,2344,1.6504,NEAR BAY,151800
-122.24,37.8,996,2.2697,NEAR BAY,127000
-122.24,37.8,1591,2.1563,NEAR BAY,128600
-122.24,37.8,1586,2.1348,NEAR BAY,140600
-122.24,37.8,2046,2.6292,NEAR BAY,182700
-122.23,37.8,1192,2.3833,NEAR BAY,146900
-122.24,37.8,1803,2.957,NEAR BAY,122800
-122.24,37.8,2838,2.5238,NEAR BAY,169300
-122.23,37.8,783,1.9375,NEAR BAY,126600
-122.23,37.8,1590,1.9028,NEAR BAY,127900
-122.23,37.8,1746,2.25,NEAR BAY,123500
-122.23,37.8,1252,2.3929,NEAR BAY,111900
-122.23,37.79,5963,2.1917,NEAR BAY,112800
-122.23,37.79,1783,2.9357,NEAR BAY,107900
-122.23,37.79,999,1.8854,NEAR BAY,137500
-122.24,37.79,1469,2.1638,NEAR BAY,105500
-122.24,37.79,1372,2.125,NEAR BAY,95500
-122.24,37.79,674,3.375,NEAR BAY,116100
-122.24,37.79,1626,2.2542,NEAR BAY,112200
-122.25,37.79,175,2.1,NEAR BAY,75000
-122.25,37.79,461,1.6,NEAR BAY,112500
-122.25,37.79,902,3.625,NEAR BAY,125000
-122.26,37.8,2373,1.6929,NEAR BAY,115000
-122.22,37.77,391,1.6471,NEAR BAY,95000
-122.22,37.77,1137,2.59,NEAR BAY,96400
-122.23,37.77,769,2.57,NEAR BAY,72000
-122.23,37.78,472,2.6429,NEAR BAY,71300
-122.23,37.78,862,3.0257,NEAR BAY,80800
-122.22,37.78,1920,1.4886,NEAR BAY,128800
-122.23,37.78,1420,1.9338,NEAR BAY,112500
-122.23,37.78,986,1.4844,NEAR BAY,119400
-122.23,37.78,2340,1.6009,NEAR BAY,118100
-122.23,37.79,1696,2.0375,NEAR BAY,122500
-122.23,37.79,1175,2.293,NEAR BAY,106300
-122.22,37.79,2343,2.1494,NEAR BAY,132500
-122.23,37.79,610,1.6198,NEAR BAY,122700
-122.23,37.79,930,1.3281,NEAR BAY,113300
-122.22,37.79,1487,3.5156,NEAR BAY,109500
-122.22,37.79,3424,3.9048,NEAR BAY,164700
-122.21,37.79,762,3.0893,NEAR BAY,125000
-122.22,37.79,2366,2.6042,NEAR BAY,124700
-122.22,37.79,1826,2.5,NEAR BAY,136700
-122.22,37.79,3049,2.7969,NEAR BAY,141700
-122.2,37.79,1640,2.8321,NEAR BAY,150000
-122.21,37.79,1543,2.9583,NEAR BAY,138800
-122.21,37.79,2364,2.8365,NEAR BAY,139200
-122.21,37.79,1745,2.875,NEAR BAY,143800
-122.21,37.8,2003,3.0682,NEAR BAY,156500
-122.21,37.8,2018,3.0757,NEAR BAY,151000
-122.2,37.8,3045,4.9559,NEAR BAY,273000
-122.2,37.8,1547,4.7721,NEAR BAY,217100
-122.21,37.8,3519,3.4861,NEAR BAY,187100
-122.2,37.8,2070,5.1184,NEAR BAY,239600
-122.21,37.8,1321,4.0977,NEAR BAY,229700
-122.19,37.8,1694,4.744,NEAR BAY,257300
-122.19,37.8,1938,4.2727,NEAR BAY,246900
-122.19,37.79,968,2.9844,NEAR BAY,179900
-122.2,37.79,1060,4.1739,NEAR BAY,169600
-122.2,37.8,2041,3.8487,NEAR BAY,203300
-122.19,37.8,1813,4.0114,NEAR BAY,263400
-122.19,37.79,2718,4.6563,NEAR BAY,231800
-122.19,37.79,3144,2.9297,NEAR BAY,140500
-122.2,37.79,1802,2.3036,NEAR BAY,126000
-122.2,37.79,882,2.6667,NEAR BAY,122000
-122.2,37.79,1621,2.619,NEAR BAY,134700
-122.21,37.79,2115,2.4167,NEAR BAY,139400
-122.2,37.79,2021,2.7788,NEAR BAY,115400
-122.21,37.78,2239,2.7352,NEAR BAY,137300
-122.21,37.78,1477,1.8472,NEAR BAY,137000
-122.21,37.78,1056,2.6583,NEAR BAY,142600
-122.21,37.78,898,3.0536,NEAR BAY,137500
-122.22,37.78,2968,2.3906,NEAR BAY,111700
-122.21,37.78,1702,1.7188,NEAR BAY,126800
-122.21,37.78,881,2.625,NEAR BAY,111300
-122.22,37.77,494,2.8015,NEAR BAY,114800
-122.22,37.78,1776,1.7276,NEAR BAY,102300
-122.22,37.78,1678,2.0801,NEAR BAY,131900
-122.22,37.78,1637,2.489,NEAR BAY,119100
-122.21,37.76,1420,1.7546,NEAR BAY,80600
-122.21,37.77,591,4.0904,NEAR BAY,80600
-122.21,37.77,745,2.6765,NEAR BAY,88800
-122.2,37.77,2272,2.4338,NEAR BAY,102400
-122.21,37.77,1234,2.3309,NEAR BAY,98700
-122.21,37.77,1017,2.2604,NEAR BAY,100000
-122.19,37.77,932,1.8039,NEAR BAY,92300
-122.2,37.77,2689,2.2562,NEAR BAY,94800
-122.2,37.77,1547,2.0562,NEAR BAY,102000
-122.2,37.78,2300,3.5398,NEAR BAY,158400
-122.2,37.78,1752,3.1167,NEAR BAY,121600
-122.2,37.78,1867,2.5401,NEAR BAY,129100
-122.2,37.77,2430,2.898,NEAR BAY,121400
-122.21,37.78,1729,2.3125,NEAR BAY,102800
-122.19,37.78,1026,2.875,NEAR BAY,160000
-122.19,37.77,2170,3.3715,NEAR BAY,143900
-122.19,37.77,2329,3.5114,NEAR BAY,151200
-122.19,37.78,2492,4.3125,NEAR BAY,164400
-122.19,37.78,2198,3.22,NEAR BAY,156500
-122.18,37.78,142,3.875,NEAR BAY,225000
-122.19,37.78,1183,5.2328,NEAR BAY,174200
-122.19,37.78,1070,3.7262,NEAR BAY,166900
-122.2,37.78,1766,4.5893,NEAR BAY,163500
-122.18,37.79,617,5.2578,NEAR BAY,253000
-122.18,37.79,1411,7.0875,NEAR BAY,240700
-122.18,37.79,2109,3.9712,NEAR BAY,208100
-122.19,37.79,1229,2.9514,NEAR BAY,198100
-122.19,37.79,954,2.6667,NEAR BAY,172800
-122.18,37.81,1643,5.4446,NEAR BAY,336700
-122.18,37.8,1355,6.2838,NEAR BAY,318200
-122.18,37.8,2317,6.7527,NEAR BAY,285800
-122.13,37.77,2459,7.0712,NEAR BAY,293000
-122.16,37.79,12842,5.9849,NEAR BAY,371000
-122.17,37.78,1524,3.6875,NEAR BAY,157300
-122.17,37.77,3326,2.875,NEAR BAY,135300
-122.18,37.78,1985,3.4205,NEAR BAY,136700
-122.18,37.78,1642,3.2984,NEAR BAY,160700
-122.17,37.78,893,3.875,NEAR BAY,140600
-122.17,37.78,653,4.175,NEAR BAY,144000
-122.16,37.77,1256,4.375,NEAR BAY,161900
-122.16,37.77,977,4.7708,NEAR BAY,156300
-122.16,37.77,2324,3.5739,NEAR BAY,176000
-122.16,37.77,1583,3.0958,NEAR BAY,145800
-122.17,37.77,1612,3.3958,NEAR BAY,141900
-122.17,37.77,2424,1.871,NEAR BAY,90700
-122.17,37.76,1594,1.9356,NEAR BAY,90600
-122.17,37.76,2118,2.1842,NEAR BAY,107900
-122.18,37.76,1575,2.2917,NEAR BAY,107000
-122.17,37.76,1764,2.4333,NEAR BAY,98200
-122.18,37.76,1187,1.9479,NEAR BAY,89500
-122.18,37.76,754,3.9063,NEAR BAY,93800
-122.18,37.76,2308,1.8407,NEAR BAY,96700
-122.18,37.77,909,2.0786,NEAR BAY,97500
-122.18,37.77,1180,2.8125,NEAR BAY,97300
-122.18,37.76,2018,1.8913,NEAR BAY,91200
-122.19,37.76,1368,1.7056,NEAR BAY,91400
-122.18,37.77,2744,2.2768,NEAR BAY,96200
-122.18,37.77,2107,3.2552,NEAR BAY,120100
-122.18,37.77,1748,2.0556,NEAR BAY,100000
-122.19,37.76,2024,2.4659,NEAR BAY,94700
-122.2,37.76,1116,1.75,NEAR BAY,85700
-122.19,37.77,2036,2.0469,NEAR BAY,89300
-122.19,37.77,1852,2.7159,NEAR BAY,101400
-122.19,37.76,921,1.2083,NEAR BAY,72500
-122.19,37.76,995,1.925,NEAR BAY,74100
-122.2,37.75,606,1.5809,NEAR BAY,70000
-122.2,37.76,2680,1.4097,NEAR BAY,84600
-122.19,37.76,1493,0.7683,NEAR BAY,81800
-122.19,37.75,2207,1.3194,NEAR BAY,81400
-122.19,37.75,856,0.8012,NEAR BAY,81800
-122.19,37.76,1293,1.9479,NEAR BAY,85800
-122.19,37.74,847,1.1765,NEAR BAY,87100
-122.18,37.74,541,2.3456,NEAR BAY,83500
-122.19,37.73,1066,2.1538,NEAR BAY,79700
-122.19,37.74,707,2.5139,NEAR BAY,83400
-122.19,37.73,1528,1.2625,NEAR BAY,84700
-122.18,37.73,909,2.9063,NEAR BAY,80000
-122.18,37.73,1391,2.5192,NEAR BAY,76400
-122.18,37.73,548,2.1111,NEAR BAY,79700
-122.18,37.73,4074,2.455,NEAR BAY,82400
-122.17,37.74,1613,2.4028,NEAR BAY,97700
-122.17,37.74,463,2.15,NEAR BAY,97200
-122.17,37.74,818,2.4776,NEAR BAY,101600
-122.17,37.73,1473,2.1587,NEAR BAY,86500
-122.18,37.74,504,1.8438,NEAR BAY,90500
-122.17,37.74,1026,3.0298,NEAR BAY,107600
-122.17,37.74,769,2.25,NEAR BAY,84200
-122.18,37.74,2103,2.2467,NEAR BAY,88900
-122.18,37.75,330,4.0469,NEAR BAY,80700
-122.18,37.75,941,1.325,NEAR BAY,87100
-122.17,37.75,992,1.6196,NEAR BAY,85100
-122.18,37.75,990,2.1731,NEAR BAY,82000
-122.19,37.75,1126,1.9167,NEAR BAY,82800
-122.18,37.75,1036,2.069,NEAR BAY,84600
-122.18,37.75,1047,1.712,NEAR BAY,82100
-122.17,37.76,1280,2.5625,NEAR BAY,89300
-122.17,37.75,1587,1.9821,NEAR BAY,98300
-122.17,37.75,1257,2.5043,NEAR BAY,92300
-122.17,37.75,1218,2.3281,NEAR BAY,88800
-122.17,37.75,1751,1.4375,NEAR BAY,90000
-122.16,37.76,2299,2.5122,NEAR BAY,95500
-122.16,37.75,2457,1.5625,NEAR BAY,91700
-122.17,37.75,998,3.1587,NEAR BAY,100400
-122.17,37.76,1685,1.8426,NEAR BAY,94800
-122.16,37.76,1827,4.6696,NEAR BAY,164300
-122.16,37.76,2781,2.4598,NEAR BAY,155500
-122.15,37.76,1823,6.0749,NEAR BAY,196900
-122.14,37.77,2229,4.8304,NEAR BAY,279100
-122.14,37.76,1513,5.5701,NEAR BAY,252800
-122.13,37.76,3266,5.37,NEAR BAY,275400
-122.12,37.75,1809,6.86,NEAR BAY,250000
-122.12,37.75,794,7.6923,NEAR BAY,329800
-122.14,37.75,690,4.0313,NEAR BAY,195500
-122.14,37.75,1334,6.8323,NEAR BAY,255900
-122.13,37.75,414,4.975,NEAR BAY,311100
-122.13,37.75,768,5.3602,NEAR BAY,330000
-122.13,37.74,4400,5,NEAR BAY,248900
-122.16,37.75,954,2.925,NEAR BAY,142900
-122.15,37.75,1445,3.8913,NEAR BAY,126300
-122.15,37.75,1938,3.225,NEAR BAY,135800
-122.15,37.74,856,3.1458,NEAR BAY,130600
-122.16,37.75,1790,2.537,NEAR BAY,107900
-122.16,37.75,617,2.5568,NEAR BAY,111100
-122.15,37.74,1383,3.5083,NEAR BAY,122000
-122.15,37.74,1325,3.3125,NEAR BAY,118000
-122.16,37.75,1227,1.8235,NEAR BAY,95200
-122.16,37.75,667,3.8047,NEAR BAY,94300
-122.17,37.74,1223,2.2917,NEAR BAY,92500
-122.17,37.75,1379,2.4962,NEAR BAY,91800
-122.16,37.74,1534,4.0417,NEAR BAY,109400
-122.16,37.74,1029,3.4844,NEAR BAY,129500
-122.16,37.74,771,4.1458,NEAR BAY,143400
-122.16,37.74,824,2.625,NEAR BAY,98200
-122.16,37.74,1097,2.0227,NEAR BAY,103100
-122.29,37.9,1283,3.3333,NEAR BAY,276800
-122.29,37.9,1604,5.338,NEAR BAY,270900
-122.29,37.89,2248,3.4732,NEAR BAY,246200
-122.3,37.9,2263,3.5125,NEAR BAY,224200
-122.29,37.89,1571,3.1375,NEAR BAY,229100
-122.3,37.89,1520,2.8036,NEAR BAY,211600
-122.3,37.9,5083,4.5824,NEAR BAY,256100
-122.3,37.89,1077,3.0208,NEAR BAY,206300
-122.3,37.89,1248,4.0875,NEAR BAY,221300
-122.33,37.89,1342,4.5268,NEAR BAY,207400
-122.34,37.88,3061,1.7375,NEAR BAY,350000
-122.29,37.89,3171,3.1795,NEAR BAY,218200
-122.29,37.88,1211,3.8672,NEAR BAY,216700
-122.29,37.89,979,5.1675,NEAR BAY,270600
-122.29,37.89,2269,5.1696,NEAR BAY,261400
-122.28,37.88,1844,4.2614,NEAR BAY,261300
-122.29,37.89,2178,5.0551,NEAR BAY,232200
-122.27,37.9,1650,5.6228,NEAR BAY,375400
-122.26,37.9,1927,7.8864,NEAR BAY,357300
-122.27,37.9,2079,7.9556,NEAR BAY,374400
-122.27,37.9,1803,6.174,NEAR BAY,358800
-122.27,37.9,2041,6.9414,NEAR BAY,417500
-122.27,37.89,3046,8.8342,NEAR BAY,430500
-122.28,37.9,2318,7.1754,NEAR BAY,362900
-122.28,37.9,2003,10.0825,NEAR BAY,397000
-122.28,37.9,2261,4.9083,NEAR BAY,346800
-122.28,37.89,1225,5.7912,NEAR BAY,327100
-122.28,37.89,2315,4.5893,NEAR BAY,290100
-122.28,37.89,2070,5.4171,NEAR BAY,292000
-122.28,37.89,2616,4.125,NEAR BAY,270900
-122.27,37.89,2640,7.266,NEAR BAY,371100
-122.27,37.89,1978,5.3989,NEAR BAY,335600
-122.26,37.9,2220,7.8336,NEAR BAY,371300
-122.25,37.89,1125,6.1593,NEAR BAY,344000
-122.26,37.89,3078,6.381,NEAR BAY,342200
-122.26,37.89,3706,6.6828,NEAR BAY,370900
-122.25,37.89,3000,7.5385,NEAR BAY,350000
-122.25,37.89,2863,6.7138,NEAR BAY,368600
-122.26,37.88,2551,6.2425,NEAR BAY,391800
-122.26,37.88,2255,5.7979,NEAR BAY,415300
-122.27,37.88,3360,4.2813,NEAR BAY,284900
-122.27,37.88,1693,3.5417,NEAR BAY,287500
-122.27,37.88,2252,3.0132,NEAR BAY,272900
-122.28,37.88,2495,4.1429,NEAR BAY,259600
-122.28,37.88,1193,4.1912,NEAR BAY,254500
-122.28,37.88,1172,3.9167,NEAR BAY,235600
-122.29,37.88,2159,3.8897,NEAR BAY,218400
-122.29,37.88,2365,3.1065,NEAR BAY,229200
-122.29,37.88,1895,2.9926,NEAR BAY,192100
-122.29,37.88,1650,3.556,NEAR BAY,179300
-122.3,37.88,453,1.475,NEAR BAY,187500
-122.3,37.88,409,1.6971,NEAR BAY,138800
-122.3,37.87,503,2.1705,NEAR BAY,150000
-122.3,37.86,499,2.75,NEAR BAY,140600
-122.29,37.85,477,2.5682,NEAR BAY,120000
-122.3,37.88,1647,2.9,NEAR BAY,144800
-122.3,37.87,3123,2.2208,NEAR BAY,144800
-122.28,37.88,957,3.2344,NEAR BAY,245500
-122.28,37.87,589,3.5156,NEAR BAY,200000
-122.28,37.87,2026,1.9805,NEAR BAY,173700
-122.29,37.87,1829,2.6684,NEAR BAY,185600
-122.29,37.87,895,3.875,NEAR BAY,182600
-122.28,37.88,1909,3.006,NEAR BAY,227900
-122.28,37.87,3022,2.543,NEAR BAY,220700
-122.28,37.87,1777,2.8676,NEAR BAY,212000
-122.27,37.88,2803,2.1907,NEAR BAY,271400
-122.27,37.87,1465,1.7778,NEAR BAY,268800
-122.27,37.88,2619,2.52,NEAR BAY,277800
-122.26,37.88,1149,4.2788,NEAR BAY,332500
-122.26,37.88,2363,2.944,NEAR BAY,338900
-122.26,37.88,2604,1.725,NEAR BAY,287500
-122.25,37.87,685,5.2289,NEAR BAY,384600
-122.25,37.87,1756,2.5562,NEAR BAY,371400
-122.25,37.87,1204,0.949,NEAR BAY,350000
-122.25,37.87,609,1.1696,NEAR BAY,500001
-122.26,37.87,1087,1.4012,NEAR BAY,175000
-122.26,37.87,2773,1.1859,NEAR BAY,241700
-122.27,37.87,3218,1.7464,NEAR BAY,216700
-122.27,37.87,1350,2.8846,NEAR BAY,211300
-122.27,37.87,3084,2.7372,NEAR BAY,210200
-122.28,37.86,938,3.8594,NEAR BAY,196400
-122.28,37.87,1813,3.5625,NEAR BAY,191700
-122.28,37.87,1233,2.2788,NEAR BAY,182300
-122.29,37.87,2539,2.537,NEAR BAY,175000
-122.29,37.87,1267,2.525,NEAR BAY,165900
-122.29,37.86,1665,1.9946,NEAR BAY,156900
-122.28,37.86,1659,2.8214,NEAR BAY,164300
-122.29,37.87,2225,2.6165,NEAR BAY,150000
-122.29,37.86,2485,1.9483,NEAR BAY,150500
-122.28,37.86,2031,1.9327,NEAR BAY,169900
-122.28,37.86,2932,1.9798,NEAR BAY,147400
-122.28,37.85,2246,2.4167,NEAR BAY,152700
-122.27,37.86,2052,2.5417,NEAR BAY,182700
-122.28,37.86,1999,3.3906,NEAR BAY,179300
-122.28,37.86,3007,2.5652,NEAR BAY,157700
-122.28,37.86,2214,2.2845,NEAR BAY,153100
-122.27,37.86,1088,2.6071,NEAR BAY,250000
-122.27,37.86,834,3.15,NEAR BAY,206300
-122.27,37.86,1769,2.6914,NEAR BAY,218800
-122.27,37.86,2307,1.8447,NEAR BAY,198200
-122.26,37.86,5161,1.6307,NEAR BAY,253600
-122.26,37.86,3497,2.9044,NEAR BAY,257400
-122.26,37.86,3774,2.9405,NEAR BAY,289500
-122.26,37.86,2888,3.3893,NEAR BAY,241700
-122.25,37.86,2153,3.0417,NEAR BAY,489600
-122.25,37.86,1389,7.0897,NEAR BAY,446200
-122.25,37.86,1709,5.0463,NEAR BAY,456300
-122.25,37.86,1587,1.7652,NEAR BAY,336800
-122.24,37.86,1668,7.8521,NEAR BAY,500001
-122.24,37.85,3726,9.3959,NEAR BAY,500001
-122.25,37.86,4048,5.3794,NEAR BAY,376900
-122.26,37.85,3618,3.2619,NEAR BAY,309600
-122.27,37.85,4076,2.7054,NEAR BAY,182300
-122.27,37.85,2077,2.2431,NEAR BAY,172700
-122.27,37.85,1279,1.9028,NEAR BAY,150800
-122.27,37.85,1974,1.5817,NEAR BAY,153600
-122.27,37.85,335,2.2841,NEAR BAY,106300
-122.27,37.85,1375,1.3785,NEAR BAY,142300
-122.28,37.85,610,2.9018,NEAR BAY,119400
-122.28,37.85,1025,1.73,NEAR BAY,147900
